"14,6,13,53,42","4,11,11,23,34","16,5,4,72,31","10,10,3,46,25","6,6,2,21,15","18,6,3,59,20","17,5,9,71,39","12,8,1,33,13","13,4,10,45,32","2,0,1,8,4",0,"13,5,4,38,21","3,3,5,11,15","6,1,2,23,4","3,3,0,11,4","6,2,3,22,13","2,1,0,5,2","3,1,1,13,4","1,1,0,2,0","8,9,7,37,31","0,0,0,0,0","1,0,0,2,1","4,2,1,8,6","0,0,0,0,0","1,1,0,1,0","3,0,0,8,1","2,1,0,3,1","0,1,0,1,1","2,1,0,5,3","0,2,0,1,1","1,1,1,5,3"
"8,5,15,38,55","1,0,2,7,6","6,3,7,26,29","3,2,10,18,31","1,1,0,3,1","4,6,2,17,14","5,2,8,28,20","10,1,8,41,35","2,3,12,15,34","1,0,0,1,0","4,5,13,21,38",0,"2,0,0,8,2","2,2,1,7,6","0,0,0,0,0","2,2,2,7,8","1,0,0,2,1","20,3,0,73,12","0,0,0,0,0","41,20,46,174,186","2,1,0,6,3","3,0,0,8,1","2,1,1,6,3","0,1,0,0,0","0,0,0,0,0","2,1,0,7,2","1,0,0,4,1","0,1,0,0,0","1,0,1,4,5","3,0,0,4,0","1,0,1,4,3"
"1,2,8,12,29","20,20,38,98,142","0,0,2,1,5","1,1,1,3,5","58,48,93,231,323","3,1,0,13,4","3,4,3,8,7","1,2,1,5,4","0,5,5,8,16","38,15,16,113,64","5,3,3,15,11","0,0,2,2,8",0,"6,7,8,28,29","20,11,12,61,46","0,0,0,0,0","0,1,0,0,0","1,0,0,2,1","7,3,2,21,16","1,0,2,3,6","0,1,0,3,3","0,1,0,1,1","4,1,4,8,6","0,0,0,0,0","2,0,0,2,0","2,0,0,3,0","1,0,0,2,1","6,1,1,13,6","4,2,2,23,17","1,1,1,4,4","1,1,0,4,1"
"2,5,5,11,24","10,7,24,36,75","3,2,2,9,11","0,2,3,4,7","4,12,15,28,51","1,1,3,7,10","1,1,5,6,15","3,2,4,13,10","0,3,5,4,16","11,8,9,37,32","2,1,6,4,23","1,2,2,6,7","8,7,6,29,28",0,"10,9,7,25,21","2,0,4,6,9","0,0,1,1,3","3,2,0,6,1","32,19,6,89,34","2,3,5,5,11","2,0,0,3,0","1,0,0,2,0","1,2,2,7,8","3,0,0,9,2","0,0,1,1,2","2,1,1,8,4","2,4,0,11,6","8,2,4,29,18","6,0,1,15,6","4,1,0,14,2","1,0,2,3,7"
"0,2,2,5,10","3,11,21,18,67","1,0,1,2,2","0,0,0,0,0","9,10,20,38,70","2,1,1,9,6","1,0,3,5,7","4,0,2,10,8","0,2,1,3,4","21,22,17,71,65","0,3,3,4,11","0,0,0,0,0","12,11,20,46,61","7,9,10,21,25",0,"0,0,0,0,0","1,1,0,2,1","0,0,0,0,0","10,0,3,30,15","0,2,0,2,2","2,1,0,5,2","1,0,0,1,0","2,2,0,4,2","0,0,0,0,0","1,0,0,2,0","0,2,0,1,1","3,1,0,4,1","1,2,3,7,11","3,1,1,7,3","1,1,0,2,1","0,0,0,0,0"
"2,1,5,10,18","0,1,3,2,7","3,2,3,9,6","0,1,6,4,15","2,1,2,7,5","1,2,1,6,7","0,2,6,8,19","3,1,1,7,3","3,1,5,12,20","0,0,1,0,2","3,2,6,13,22","2,2,2,8,7","0,0,0,0,0","4,0,2,9,6","0,0,0,0,0",0,"0,0,1,1,2","5,1,1,13,3","0,0,0,0,0","4,0,2,8,7","1,0,0,2,1","1,1,0,3,1","2,2,2,11,6","1,1,0,4,2","0,1,0,2,2","0,1,0,2,2","1,0,0,2,0","3,2,2,11,7","1,1,1,4,4","0,0,0,0,0","2,4,0,6,3"
"0,2,1,1,4","0,0,1,1,4","1,1,2,5,8","0,2,0,3,3","0,0,1,1,2","0,1,2,2,4","0,2,2,3,7","1,0,2,1,3","0,0,2,1,4","0,1,0,1,1","0,1,2,2,5","0,0,1,1,2","0,1,0,0,0","1,0,0,3,1","0,1,1,1,2","1,0,0,2,1",0,"1,0,0,3,1","1,0,0,1,0","1,1,2,2,3","9,7,5,22,13","0,0,1,0,1","1,0,1,2,3","1,1,0,3,2","8,18,12,36,40","13,8,9,30,26","5,7,4,22,15","1,1,0,1,0","0,0,4,0,6","3,2,3,7,10","0,0,1,0,2"
"0,1,5,1,18","0,0,2,1,9","0,0,13,8,44","0,1,2,5,9","0,1,0,1,1","0,1,7,6,21","0,4,11,12,42","0,2,5,7,15","1,2,7,6,15","0,0,1,1,3","1,1,3,4,13","0,3,20,12,73","0,0,1,1,2","0,2,3,1,6","0,0,0,0,0","1,1,5,3,13","0,0,1,1,3",0,"0,0,0,0,0","2,3,11,17,37","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,1,0,1","0,0,0,0,0","0,0,0,0,0","1,0,1,3,2","0,0,1,1,5","0,0,3,3,8","1,2,2,3,5","1,1,4,2,8"
"0,0,1,2,4","1,0,10,9,34","0,0,2,1,5","0,0,0,0,0","0,2,5,5,14","1,1,1,3,4","0,0,2,3,5","0,0,3,3,8","0,1,2,3,9","2,1,5,9,15","0,1,1,0,2","0,0,0,0,0","2,3,7,16,21","6,19,32,34,89","3,0,10,15,30","0,0,0,0,0","0,0,1,0,1","0,0,0,0,0",0,"1,0,1,2,2","0,0,0,0,0","0,0,1,0,1","0,0,1,0,1","0,1,1,2,3","0,0,1,0,1","0,0,0,0,0","0,0,0,0,0","3,2,4,10,11","0,1,3,2,10","3,0,1,8,5","1,0,0,4,3"
"12,9,16,61,72","2,3,10,17,35","5,2,8,30,23","7,6,7,29,25","1,1,1,6,6","11,7,11,47,42","6,5,12,23,34","15,4,9,59,41","4,6,8,18,27","0,1,0,0,0","7,9,8,31,37","46,20,41,186,174","2,0,1,6,3","5,3,2,11,5","0,2,0,2,2","2,0,4,7,8","2,1,1,3,2","11,3,2,37,17","1,0,1,2,2",0,"0,0,1,1,2","1,0,1,2,3","1,2,2,2,2","1,0,0,3,1","0,0,0,0,0","2,0,2,10,3","2,0,0,5,2","3,2,0,18,3","2,2,1,7,6","2,1,0,6,3","5,4,2,16,10"
"0,0,0,0,0","0,1,0,1,1","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","1,0,0,1,0","1,0,0,2,1","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,1,2,3,6","0,1,0,3,3","0,0,2,0,3","0,1,2,2,5","0,0,1,1,2","5,7,9,13,22","0,0,0,0,0","0,0,0,0,0","1,0,0,2,1",0,"0,0,0,0,0","0,0,0,0,0","0,1,0,1,1","5,4,12,11,31","5,3,7,7,9","5,2,8,18,22","2,1,1,4,3","2,2,0,7,4","0,0,2,4,6","0,0,0,0,0"
"1,1,2,3,4","0,0,2,0,3","2,1,3,6,8","1,4,3,11,14","0,0,1,0,6","0,0,1,1,2","0,2,3,4,8","0,3,4,8,12","0,2,1,1,3","0,0,0,0,0","0,0,1,1,2","0,0,3,1,8","0,1,0,1,1","0,0,1,0,2","0,0,1,0,1","0,1,1,1,3","1,0,0,1,0","0,0,0,0,0","1,0,0,1,0","1,0,1,3,2","0,0,0,0,0",0,"0,1,1,1,2","0,0,0,0,0","0,0,1,1,2","0,0,0,0,0","1,0,0,2,0","1,1,2,3,5","2,0,2,5,2","0,0,0,0,0","1,2,3,9,8"
"1,1,4,9,17","1,1,6,1,21","0,0,1,0,2","0,0,0,0,0","1,1,5,7,12","0,1,0,0,0","1,1,3,3,10","1,0,0,2,1","0,0,1,0,3","0,0,1,0,2","1,2,4,6,8","1,1,2,3,6","4,1,4,6,8","2,2,1,8,7","0,2,2,2,4","2,2,2,6,11","1,0,1,3,2","0,0,0,0,0","1,0,0,1,0","2,2,1,2,2","0,0,0,0,0","1,1,0,2,1",0,"1,2,3,6,7","1,0,0,1,0","0,0,1,0,3","2,0,0,2,0","11,10,8,33,30","7,9,11,32,39","5,3,2,18,11","0,0,0,0,0"
"0,0,2,0,4","0,0,1,0,3","0,0,0,0,0","0,1,2,1,6","0,1,1,1,2","0,0,0,0,0","0,0,1,1,2","0,0,2,0,3","0,0,1,0,1","0,0,1,1,4","0,0,0,0,0","0,1,0,0,0","0,0,0,0,0","0,0,3,2,9","0,0,0,0,0","0,1,1,2,4","0,1,1,2,3","1,0,0,1,0","1,1,0,3,2","0,0,1,1,3","0,1,0,1,1","0,0,0,0,0","3,2,1,7,6",0,"1,0,0,1,0","0,0,0,0,0","0,1,1,0,1","13,9,10,33,35","7,6,6,22,22","4,5,4,18,12","1,1,0,2,1"
"0,0,4,3,12","0,0,2,0,5","1,0,2,4,6","1,0,1,3,2","0,0,3,1,5","2,0,0,3,1","0,1,3,4,10","1,2,1,3,4","0,1,2,4,6","0,0,1,0,3","0,1,1,0,1","0,0,0,0,0","0,0,2,0,2","1,0,0,2,1","0,0,1,0,2","0,1,0,2,2","12,18,8,40,36","0,0,0,0,0","1,0,0,1,0","0,0,0,0,0","12,4,5,31,11","1,0,0,2,1","0,0,1,0,1","0,0,1,0,1",0,"12,12,4,33,18","5,1,4,15,12","1,3,0,7,5","0,0,0,0,0","3,3,6,19,14","0,0,1,0,2"
"1,0,0,2,1","0,0,6,4,18","2,0,1,5,3","1,0,3,3,9","0,0,2,0,8","0,0,1,1,3","0,0,1,0,5","1,1,0,4,0","0,0,1,0,2","0,0,0,0,0","0,0,3,1,8","0,1,2,2,7","0,0,2,0,3","1,1,2,4,8","0,2,0,1,1","0,1,0,2,2","9,8,13,26,30","0,0,0,0,0","0,0,0,0,0","2,0,2,3,10","7,3,5,9,7","0,0,0,0,0","1,0,0,3,0","0,0,0,0,0","4,12,12,18,33",0,"4,6,6,20,20","3,4,6,7,13","0,0,2,1,5","5,2,2,23,11","0,0,1,1,3"
"0,0,1,0,1","0,1,1,1,4","0,0,0,0,0","0,0,0,0,0","2,1,6,13,15","1,0,0,1,0","1,0,1,1,2","1,0,0,1,0","1,0,1,3,5","0,0,1,0,1","0,1,2,1,3","0,0,1,1,4","0,0,1,1,2","0,4,2,6,11","0,1,3,1,4","0,0,1,0,2","4,7,5,15,22","1,0,1,2,3","0,0,0,0,0","0,0,2,2,5","8,2,5,22,18","0,0,1,0,2","0,0,2,0,2","1,1,0,1,0","4,1,5,12,15","6,6,4,20,20",0,"0,2,3,6,9","1,1,1,5,5","0,1,0,0,0","0,0,0,0,0"
"2,0,2,7,5","1,0,5,4,11","0,1,3,2,6","1,0,0,1,0","0,0,3,2,8","1,0,1,2,3","0,1,2,3,9","1,1,1,6,5","0,2,4,5,16","0,1,0,0,0","0,1,0,1,1","0,1,0,0,0","1,1,6,6,13","4,2,8,18,29","3,2,1,11,7","2,2,3,7,11","0,1,1,0,1","1,0,0,5,1","4,2,3,11,10","0,2,3,3,18","1,1,2,3,4","2,1,1,5,3","8,10,11,30,33","10,9,13,35,33","0,3,1,5,7","6,4,3,13,7","3,2,0,9,6",0,"38,19,13,106,60","5,8,5,16,13","0,1,2,4,7"
"0,1,1,2,5","0,2,10,5,34","2,2,2,11,8","0,0,0,0,0","1,0,6,4,15","1,1,1,5,6","1,1,4,5,14","2,0,5,10,14","0,0,1,0,1","1,2,2,4,4","0,1,2,3,5","1,0,1,5,4","2,2,4,17,23","1,0,6,6,15","1,1,3,3,7","1,1,1,4,4","4,0,0,6,0","3,0,0,8,3","3,1,0,10,2","1,2,2,6,7","0,2,2,4,7","2,0,2,2,5","11,9,7,39,32","6,6,7,22,22","0,0,0,0,0","2,0,0,5,1","1,1,1,5,5","13,19,38,60,106",0,"10,1,5,25,13","1,0,0,1,0"
"0,0,3,1,13","0,0,5,3,18","1,0,2,2,6","0,0,2,0,6","0,2,2,2,6","0,0,0,0,0","0,0,1,0,4","1,0,3,4,5","0,0,3,2,9","0,0,1,0,3","0,2,0,1,1","0,0,3,0,4","1,1,1,4,4","0,1,4,2,14","0,1,1,1,2","0,0,0,0,0","3,2,3,10,7","2,2,1,5,3","1,0,3,5,8","0,1,2,3,6","2,0,0,6,4","0,0,0,0,0","2,3,5,11,18","4,5,4,12,18","6,3,3,14,19","2,2,5,11,23","0,1,0,0,0","5,8,5,13,16","5,1,10,13,25",0,"1,0,1,4,7"
"0,1,6,3,28","0,2,4,4,14","0,2,6,7,19","2,1,4,3,11","0,0,2,2,4","4,1,0,13,4","2,1,4,10,15","1,3,1,7,7","0,3,4,5,13","0,0,0,0,0","1,1,1,3,5","1,0,1,3,4","0,1,1,1,4","2,0,1,7,3","0,0,0,0,0","0,4,2,3,6","1,0,0,2,0","4,1,1,8,2","0,0,1,3,4","2,4,5,10,16","0,0,0,0,0","3,2,1,8,9","0,0,0,0,0","0,1,1,1,2","1,0,0,2,0","1,0,0,3,1","0,0,0,0,0","2,1,0,7,4","0,0,1,0,1","1,0,1,7,4",0
